想做好爸爸 美眾院議長宣布不參選連任,震撼彈！川普當家 美眾院議長宣布不競選連任,沙國成功攔截 飛越首都上空飛彈,俄羅斯籲各方克制 避免敘利亞情勢惡化,美參院作證安然過關 祖克柏今眾院再戰,國民黨高雄市長提名 一個月內民調定勝負
路透社：利雅德市區傳出3響爆炸,為中國偵搜西藏流亡人士 瑞典起訴1男,沙國：利雅德上空攔截到1枚飛彈,敘國用化武各方對峙升溫 UN籲克制,敘國化武疑雲美俄反目 各方力防情勢惡化,想做好爸爸 美眾院議長宣布不參選連任
川普：美俄關係比冷戰時期更糟,川普：美俄關係比以往更糟,俄羅斯籲各方克制 避免敘利亞情勢惡化,俄羅斯籲各方克制 避免敘利亞情勢惡化,震撼彈！川普當家 美眾院議長宣布不競選連任,敘國用化武各方對峙升溫 UN籲克制
亞塞拜然提前大選 強人總統料繼續執政,想做好爸爸 美眾院議長宣布不參選連任,路透社：利雅德市區傳出3響爆炸,川普：美俄關係比冷戰時期更糟,俄羅斯籲各方克制 避免敘利亞情勢惡化,為中國偵搜西藏流亡人士 瑞典起訴1男
俄羅斯籲各方克制 避免敘利亞情勢惡化,俄羅斯籲各方克制 避免敘利亞情勢惡化,美參院作證安然過關 祖克柏今眾院再戰,美參院作證安然過關 祖克柏今眾院再戰,川普嗆射飛彈 俄羅斯：應鎖定敘反抗軍,川普嗆射飛彈 俄羅斯：應鎖定敘反抗軍
為中國偵搜西藏流亡人士 瑞典起訴1男,路透社：利雅德市區傳出3響爆炸,沙國：利雅德上空攔截到1枚飛彈,敘國用化武各方對峙升溫 UN籲克制,敘化攻疑雲 川普飛彈威脅引各界譁然,敘國化武疑雲美俄反目 各方力防情勢惡化
俄羅斯籲各方克制 避免敘利亞情勢惡化,俄羅斯籲各方克制 避免敘利亞情勢惡化,川普嗆射飛彈 俄羅斯：應鎖定敘反抗軍,美參院作證安然過關 祖克柏今眾院再戰,敘化攻疑雲 川普飛彈威脅引各界譁然,美參院作證安然過關 祖克柏今眾院再戰
震撼彈！川普當家 美眾院議長宣布不競選連任,想做好爸爸 美眾院議長宣布不參選連任,沙國：利雅德上空攔截到1枚飛彈,川普：美俄關係比冷戰時期更糟,廈門推對台60條措施 陸委會：不是單方開放即可,敘化攻疑雲 川普飛彈威脅引各界譁然
敘化攻疑雲 川普飛彈威脅引各界譁然,川普：美俄關係比以往更糟,敘國用化武各方對峙升溫 UN籲克制,敘國化武疑雲美俄反目 各方力防情勢惡化,美參院作證安然過關 祖克柏今眾院再戰,俄羅斯籲各方克制 避免敘利亞情勢惡化
政院拍板軍人年改方案　樓地板38990元　起支俸率55％加2％,軍人年改拍板》樓地板38990元 約5成退役軍人受衝擊,毀柯沒用 蕭亞譚北市議員初選民調墊底,國防部：國防安全研究院5/1掛牌運作,蔡英文登壇拜將 蘇貞昌民調馬上超過侯友宜？,黑柯民調墊底 蕭亞譚：數據與社會認知「差異太大」
國防部：國防安全研究院5/1掛牌運作,毀柯沒用 蕭亞譚北市議員初選民調墊底,黑柯民調墊底 蕭亞譚：數據與社會認知「差異太大」,政院拍板軍人年改方案　樓地板38990元　起支俸率55％加2％,亞塞拜然提前大選 強人總統料繼續執政,俄羅斯籲各方克制 避免敘利亞情勢惡化
